ID	samplenum	museum	taxa	state_prov	date	lat	long	sex
EA22MVZ01	MVZ:Bird:181742	MVZ	RBSAd	CA	22-Jan-05	38.08071609	-122.1910668	F
GG13MVZ01	MVZ:Bird:191404	MVZ	RBSAd	CA	13-Jul-07	40.41258234	-121.5308401	F
GG13MVZ02	MVZ:Bird:191399	MVZ	RBSAd	CA	13-Jul-07	40.41258234	-121.5308401	F
GG13MVZ03	MVZ:Bird:191401	MVZ	RBSAd	CA	13-Jul-07	40.41258234	-121.5308401	M
HF14AMN01	PRS 3051	AMNH	YBSA	NY	14-Jun-08	42.04128	-74.80753	F
HG15MVZ01	MVZ:Bird:182366	MVZ	RBSAd	CA	15-Jul-06	40.37882	-121.56598	M
IE10S04	2251-49108	Irwin Lab	YBxRB	BC	10-May-09	55.6969444	-120.27	F
IE14S02	2251-49115	Irwin Lab	YBxRB	BC	14-May-09	55.7216667	-121.5736111	M
IE15S03	2251-49119	Irwin Lab	YBxRB	BC	15-May-09	55.7502778	-121.5213889	M
IE18S01	2251-49122	Irwin Lab	YBxRB	BC	18-May-09	55.8266667	-121.7233333	M
IE21S02	2251-49132	Irwin Lab	YBxRB	BC	21-May-09	55.7116667	-121.4925	F
IE24S01	2251-49134	Irwin Lab	YBxRB	BC	24-May-09	55.4952778	-122.8205556	M
IE28S03	2251-49147	Irwin Lab	YBxRB	BC	28-May-09	55.1958333	-122.6291667	M
IF02S01	2251-49149	Irwin Lab	YBxRB	BC	2-Jun-09	55.7008333	-122.6266667	M
IF03S02	2251-49151	Irwin Lab	YBxRB	BC	3-Jun-09	55.2686111	-122.6027778	M
IF03S04	2251-49152	Irwin Lab	YBxRB	BC	3-Jun-09	55.4611111	-122.64	F
IF06S02	2251-49155	Irwin Lab	YBxRB	BC	6-Jun-09	54.8333333	-123.3836111	M
IF13S02	2251-49171	Irwin Lab	YBxRB	BC	 13-Jun-09	55.0061111	-123.8108333	F
IF16S05	1841-90618	Irwin Lab	YBxRB	BC	16-Jun-09	54.0480556	-125.3497222	M
IF26RABM01	Z09.8.5	RABM	RNxYB	AB	26-Jun-09	51.89119	-115.03333	M
JD28BBM01	TB001883	BBM	RBSAr	BC	28-Apr-10	50.30677293	-122.7821445	M
JF14S01	1841-90626	Irwin Lab	RBxRN	BC	14-Jun-10	52.1469444	-121.4580556	M
JF25RABM01	Z10.3.9	RABM	RNxYB	AB	25-Jun-10	51.87217	-115.13652	M
JF26RABM01	Z10.3.13	RABM	RNxYB	AB	26-Jun-10	51.80589	-115.20223	M
JF27NBM01	NBM- 013432	NBM	YBSA	NB	27-Jun-10	45.68776393	-66.11169561	F
JF30RABM01	Z10.13.14	RABM	RNxYB	AB	30-Jun-10	51.82022	-115.18652	F
JH01NBM01	NBM- 012066	NBM	YBSA	NB	1-Aug-10	45.68339446	-65.53334212	M
